V1,V2,V3,V4
chr11,1643216,1643265,1
chr11,1645390,1645439,1
chr11,1645669,1645718,3
chr11,1645839,1645888,2
chr11,1645999,1646033,3
chr11,1646096,1646145,2
chr11,1646200,1646249,1
chr11,1646924,1646958,2
chr11,1647167,1647216,3
chr11,1647431,1647480,3
chr11,1647959,1647993,1
chr11,1648019,1648068,3
chr11,1648127,1648176,1
chr11,1648247,1648296,2
chr11,1648665,1648714,1
chr11,1648863,1648912,1
chr11,1649542,1649547,1
chr11,1649547,1649576,7
chr11,1649576,1649581,6
chr11,1649596,1649630,3
chr11,1649646,1649680,5
chr11,1649862,1649911,1
chr11,1650383,1650432,1
chr11,1650819,1650868,1
chr11,1651027,1651061,10
chr11,1651252,1651286,1
chr11,1651447,1651496,3
chr11,1651602,1651651,2
chr11,1651838,1651856,5
chr11,1651856,1651872,6
chr11,1651872,1651890,1
chr11,1652007,1652056,2
chr11,1652095,1652129,4
chr11,1652487,1652536,2
chr11,1652692,1652726,8
chr11,1652992,1653026,2
chr11,1653187,1653221,1
chr11,1653565,1653582,1
chr11,1653582,1653599,4
chr11,1653599,1653631,3
chr11,1653701,1653750,1
chr11,1653790,1653824,4
chr11,1653907,1653956,5
chr11,1654113,1654143,1
chr11,1654143,1654162,2
chr11,1654162,1654192,1
chr11,1654397,1654446,2
chr11,1654500,1654549,1
chr11,1654593,1654627,4
chr11,1655422,1655426,3
chr11,1655426,1655460,5
chr11,1655460,1655471,3
chr11,1655817,1655866,1
chr11,1656021,1656070,2
chr11,1656495,1656544,1
chr11,1656809,1656816,5
chr11,1656816,1656843,6
chr11,1656843,1656850,1
chr11,1657145,1657194,1
chr11,1657954,1657988,3
chr11,1658019,1658068,2
chr11,1658108,1658142,1
chr11,1658360,1658394,3
chr11,1658549,1658583,1
chr11,1658776,1658810,1
chr11,1658883,1658932,6
chr11,1659754,1659803,2
chr11,1659892,1659941,7
chr11,1659954,1659988,4
chr11,1660194,1660195,6
chr11,1660195,1660228,7
chr11,1660228,1660229,1
chr11,1660485,1660511,2
chr11,1660511,1660534,5
chr11,1660534,1660560,3
chr11,1668715,1668764,1
chr11,1668916,1668926,1
chr11,1668926,1668965,5
chr11,1668965,1668975,4
chr11,1669077,1669126,2
chr11,1669205,1669230,2
chr11,1669230,1669254,5
chr11,1669254,1669264,3
chr11,1669276,1669325,3
chr11,1669366,1669400,10
chr11,1669432,1669457,4
chr11,1669457,1669470,6
chr11,1669470,1669481,8
chr11,1669481,1669491,4
chr11,1669491,1669504,2
chr11,1669570,1669604,5
chr11,1669753,1669792,2
chr11,1669792,1669802,3
chr11,1669802,1669805,1
chr11,1669805,1669841,5
chr11,1669841,1669854,4
chr11,1669981,1670030,2
chr11,1670373,1670422,2
chr11,1670702,1670705,3
chr11,1670705,1670708,5
chr11,1670708,1670751,11
chr11,1670751,1670754,9
chr11,1670754,1670755,7
chr11,1670755,1670757,8
chr11,1670757,1670768,2
chr11,1670768,1670794,6
chr11,1670794,1670795,7
chr11,1670795,1670800,8
chr11,1670800,1670804,7
chr11,1670804,1670810,6
chr11,1670810,1670816,11
chr11,1670816,1670817,17
chr11,1670817,1670818,22
chr11,1670818,1670819,23
chr11,1670819,1670820,25
chr11,1670820,1670823,26
chr11,1670823,1670825,30
chr11,1670825,1670828,31
chr11,1670828,1670844,30
chr11,1670844,1670850,26
chr11,1670850,1670851,22
