chrom1,start1,end1,chrom2,start2,end2,name,score,strand1,strand2,samplenumber
chr2,234208447,234223064,chr2,234156762,234159135,,44.3986234505224,.,.,1
chr15,41711734,41718116,chr15,41802421,41808201,,20.6253372830087,.,.,1
chr11,64172456,64183193,chr11,64068878,64079209,,16.9162953333717,.,.,1
chr2,234208447,234223064,chr2,234163674,234170252,,12.3450066982943,.,.,1
chr6,41755186,41769245,chr6,41435903,41452283,,11.6348006170057,.,.,1
chr11,64159283,64172456,chr11,64068878,64079209,,11.1309843210564,.,.,1
chr11,64172456,64183193,chr11,63983051,63989789,,10.816008853261,.,.,1
chr2,220195899,220212153,chr2,220296225,220302143,,10.1126096557561,.,.,1
chr2,220195899,220212153,chr2,220256063,220261160,,9.75202757611183,.,.,1
chr11,64172456,64183193,chr11,63973254,63975250,,9.71543830385034,.,.,1
chr6,74134768,74155788,chr6,74264737,74282199,,9.51770995947818,.,.,1
chr20,33332147,33351940,chr20,33492365,33500088,,9.45121551069993,.,.,1
chr11,64159283,64172456,chr11,63940889,63943990,,9.20585835561181,.,.,1
chr11,64172456,64183193,chr11,64064464,64068878,,8.93419914751862,.,.,1
chr14,53317091,53322392,chr14,52947076,52949351,,8.78265414881781,.,.,1
chr9,130974183,130986814,chr9,131160202,131175769,,8.73228353410538,.,.,1
chr2,220195899,220212153,chr2,220107678,220113964,,8.41045754444666,.,.,1
chr2,234290046,234295115,chr2,234159135,234160343,,8.34033181370767,.,.,1
chr11,64172456,64183193,chr11,63940889,63943990,,8.25632775141141,.,.,1
chr15,41569409,41573285,chr15,41557310,41558077,,8.03810253737392,.,.,1
chr6,74134768,74155788,chr6,74057025,74068921,,7.97708955602572,.,.,1
chr13,112396810,112408064,chr13,112467489,112476632,,7.60065495086419,.,.,1
chr11,64172456,64183193,chr11,63989980,64011295,,7.5906492678635,.,.,1
chr6,132311348,132323867,chr6,132606094,132616591,,7.4980109930705,.,.,1
chr11,63964186,63973254,chr11,64068878,64079209,,7.46110846575773,.,.,1
chr20,33682777,33686822,chr20,33373340,33375114,,7.40986887245954,.,.,1
chr20,33358672,33369416,chr20,33492365,33500088,,7.38971465494273,.,.,1
chr13,112342758,112353234,chr13,112467489,112476632,,7.28043637500558,.,.,1
chr11,64159283,64172456,chr11,63973254,63975250,,7.24000784195699,.,.,1
chr11,64159283,64172456,chr11,63983051,63989789,,7.18333225953827,.,.,1
chr6,74217113,74241547,chr6,74264737,74282199,,7.11221035278184,.,.,1
chr6,132218540,132222065,chr6,132592206,132598269,,7.08836136824882,.,.,1
chr14,53284170,53304588,chr14,52947076,52949351,,7.06232147743092,.,.,1
chr2,220195899,220212153,chr2,220289551,220296136,,7.01942553495612,.,.,1
chr9,130974183,130986814,chr9,131094112,131113080,,6.88383765683468,.,.,1
chr6,132311348,132323867,chr6,132601507,132605318,,6.88139151524704,.,.,1
chr13,112342758,112353234,chr13,112615712,112634863,,6.87308067027929,.,.,1
