V1,V2,V3,V4
chr11,1640529,1640729,1
chr11,1641056,1641256,1
chr11,1643063,1643263,1
chr11,1643310,1643324,1
chr11,1643324,1643510,2
chr11,1643510,1643524,1
chr11,1645071,1645240,1
chr11,1645240,1645271,2
chr11,1645271,1645332,1
chr11,1645332,1645410,2
chr11,1645410,1645440,3
chr11,1645440,1645532,2
chr11,1645532,1645610,1
chr11,1645611,1645638,1
chr11,1645638,1645660,2
chr11,1645660,1645698,3
chr11,1645698,1645811,4
chr11,1645811,1645838,3
chr11,1645838,1645860,2
chr11,1645860,1645898,1
chr11,1646057,1646123,1
chr11,1646123,1646128,3
chr11,1646128,1646148,4
chr11,1646148,1646200,6
chr11,1646200,1646240,7
chr11,1646240,1646257,8
chr11,1646257,1646294,7
chr11,1646294,1646323,8
chr11,1646323,1646328,6
chr11,1646328,1646348,5
chr11,1646348,1646400,3
chr11,1646400,1646402,2
chr11,1646402,1646440,3
chr11,1646440,1646494,2
chr11,1646494,1646602,1
chr11,1646613,1646774,1
chr11,1646774,1646813,3
chr11,1646813,1646823,2
chr11,1646823,1646974,3
chr11,1646974,1646983,1
chr11,1646983,1647021,2
chr11,1647021,1647023,3
chr11,1647023,1647183,2
chr11,1647183,1647221,1
chr11,1647223,1647423,1
chr11,1647439,1647534,1
chr11,1647534,1647627,2
chr11,1647627,1647639,3
chr11,1647639,1647670,2
chr11,1647670,1647734,3
chr11,1647734,1647827,2
chr11,1647827,1647845,1
chr11,1647845,1647870,2
chr11,1647870,1647882,1
chr11,1647882,1647996,2
chr11,1647996,1648045,3
chr11,1648045,1648082,2
chr11,1648082,1648189,1
chr11,1648189,1648196,2
chr11,1648196,1648274,1
chr11,1648274,1648292,2
chr11,1648292,1648379,3
chr11,1648379,1648389,4
chr11,1648389,1648474,3
chr11,1648474,1648492,2
chr11,1648492,1648563,1
chr11,1648563,1648579,2
chr11,1648579,1648719,1
chr11,1648719,1648763,2
chr11,1648763,1648781,1
chr11,1648781,1648919,2
chr11,1648919,1648981,1
chr11,1649263,1649403,1
chr11,1649403,1649463,2
chr11,1649463,1649482,1
chr11,1649482,1649555,2
chr11,1649555,1649601,3
chr11,1649601,1649603,4
chr11,1649603,1649671,3
chr11,1649671,1649682,5
chr11,1649682,1649688,4
chr11,1649688,1649719,5
chr11,1649719,1649734,6
chr11,1649734,1649735,7
chr11,1649735,1649755,8
chr11,1649755,1649801,7
chr11,1649801,1649821,6
chr11,1649821,1649871,7
chr11,1649871,1649888,5
chr11,1649888,1649919,4
chr11,1649919,1649934,3
chr11,1649934,1649935,2
chr11,1649935,1649994,1
chr11,1649994,1650012,2
chr11,1650012,1650021,3
chr11,1650021,1650101,2
chr11,1650101,1650170,3
chr11,1650170,1650185,4
chr11,1650185,1650194,5
chr11,1650194,1650212,4
chr11,1650212,1650228,3
chr11,1650228,1650301,4
chr11,1650301,1650370,3
chr11,1650370,1650385,2
chr11,1650385,1650434,1
chr11,1650434,1650435,2
chr11,1650435,1650471,3
chr11,1650471,1650581,4
chr11,1650581,1650628,5
chr11,1650628,1650634,4
chr11,1650634,1650635,3
chr11,1650635,1650638,2
chr11,1650638,1650671,3
chr11,1650671,1650741,2
chr11,1650741,1650779,3
chr11,1650779,1650781,4
chr11,1650781,1650787,3
chr11,1650787,1650838,5
chr11,1650838,1650941,4
chr11,1650941,1650971,3
chr11,1650971,1650979,4
chr11,1650979,1650987,3
chr11,1650987,1651157,1
chr11,1651157,1651171,2
chr11,1651171,1651244,1
chr11,1651244,1651286,2
chr11,1651286,1651357,3
chr11,1651357,1651379,2
chr11,1651379,1651421,3
chr11,1651421,1651444,4
chr11,1651444,1651486,3
chr11,1651486,1651503,2
chr11,1651503,1651518,4
chr11,1651518,1651555,6
chr11,1651555,1651579,7
chr11,1651579,1651612,6
chr11,1651612,1651621,7
chr11,1651621,1651673,6
chr11,1651673,1651703,7
chr11,1651703,1651718,5
chr11,1651718,1651755,3
chr11,1651755,1651796,2
chr11,1651796,1651812,4
chr11,1651812,1651842,3
chr11,1651842,1651873,4
chr11,1651873,1651996,3
chr11,1651996,1652008,1
chr11,1652008,1652013,2
chr11,1652013,1652025,3
chr11,1652025,1652042,4
chr11,1652042,1652086,3
chr11,1652086,1652135,4
chr11,1652135,1652208,5
chr11,1652208,1652213,4
chr11,1652213,1652225,3
chr11,1652225,1652264,2
chr11,1652264,1652286,3
chr11,1652286,1652335,2
chr11,1652335,1652350,1
chr11,1652350,1652410,2
chr11,1652410,1652463,3
chr11,1652463,1652464,4
chr11,1652464,1652550,3
chr11,1652550,1652553,2
chr11,1652553,1652575,3
chr11,1652575,1652610,5
chr11,1652610,1652623,4
chr11,1652623,1652663,5
chr11,1652663,1652731,4
chr11,1652731,1652753,5
chr11,1652753,1652766,4
chr11,1652766,1652775,5
chr11,1652775,1652823,3
chr11,1652823,1652919,2
chr11,1652919,1652931,3
chr11,1652931,1652955,2
chr11,1652955,1652963,3
chr11,1652963,1652966,4
chr11,1652966,1652978,3
chr11,1652978,1653011,4
chr11,1653011,1653059,5
chr11,1653059,1653119,6
chr11,1653119,1653155,5
chr11,1653155,1653163,4
chr11,1653163,1653178,3
chr11,1653178,1653198,2
chr11,1653198,1653211,4
chr11,1653211,1653252,3
chr11,1653252,1653259,4
chr11,1653259,1653264,3
chr11,1653264,1653271,4
chr11,1653271,1653398,5
chr11,1653398,1653448,3
chr11,1653448,1653452,4
chr11,1653452,1653464,3
chr11,1653464,1653471,2
chr11,1653471,1653505,1
chr11,1653505,1653514,2
chr11,1653514,1653580,3
chr11,1653580,1653648,5
chr11,1653648,1653705,4
chr11,1653705,1653714,3
chr11,1653714,1653730,2
chr11,1653730,1653733,4
chr11,1653733,1653749,6
chr11,1653749,1653769,7
chr11,1653769,1653780,9
chr11,1653780,1653801,7
chr11,1653801,1653815,9
chr11,1653815,1653930,10
chr11,1653930,1653933,8
chr11,1653933,1653949,6
chr11,1653949,1653969,5
chr11,1653969,1653994,3
chr11,1653994,1654001,4
chr11,1654001,1654015,2
chr11,1654015,1654083,1
chr11,1654083,1654115,2
chr11,1654115,1654168,3
chr11,1654168,1654184,4
chr11,1654184,1654194,5
chr11,1654194,1654198,4
chr11,1654198,1654221,5
chr11,1654221,1654283,6
chr11,1654283,1654315,5
chr11,1654315,1654368,4
chr11,1654368,1654379,3
chr11,1654379,1654384,4
chr11,1654384,1654392,3
chr11,1654392,1654398,4
chr11,1654398,1654409,3
chr11,1654409,1654421,4
chr11,1654421,1654502,3
chr11,1654502,1654518,4
chr11,1654518,1654579,5
chr11,1654579,1654592,4
chr11,1654592,1654609,3
chr11,1654609,1654647,2
chr11,1654647,1654702,3
chr11,1654702,1654718,2
chr11,1654718,1654847,1
chr11,1655036,1655224,1
chr11,1655224,1655236,3
chr11,1655236,1655277,2
chr11,1655277,1655364,4
chr11,1655364,1655415,5
chr11,1655415,1655424,6
chr11,1655424,1655477,4
chr11,1655477,1655564,2
chr11,1655564,1655615,1
chr11,1655830,1655851,1
chr11,1655851,1655973,2
chr11,1655973,1656001,3
chr11,1656001,1656030,4
chr11,1656030,1656051,3
chr11,1656051,1656173,2
chr11,1656173,1656201,1
chr11,1656304,1656504,1
chr11,1656672,1656683,1
chr11,1656683,1656759,2
chr11,1656759,1656786,3
chr11,1656786,1656795,4
chr11,1656795,1656872,5
chr11,1656872,1656878,4
chr11,1656878,1656883,5
chr11,1656883,1656959,4
chr11,1656959,1656986,3
chr11,1656986,1656995,2
chr11,1656995,1657078,1
chr11,1657282,1657416,1
chr11,1657416,1657449,2
chr11,1657449,1657468,3
chr11,1657468,1657482,4
chr11,1657482,1657570,3
chr11,1657570,1657616,4
chr11,1657616,1657646,3
chr11,1657646,1657649,5
chr11,1657649,1657668,4
chr11,1657668,1657670,3
chr11,1657670,1657742,4
chr11,1657742,1657769,5
chr11,1657769,1657770,6
chr11,1657770,1657831,5
chr11,1657831,1657840,6
chr11,1657840,1657843,7
chr11,1657843,1657846,8
chr11,1657846,1657863,6
chr11,1657863,1657870,7
chr11,1657870,1657891,6
chr11,1657891,1657942,7
chr11,1657942,1657969,6
chr11,1657969,1658031,5
chr11,1658031,1658037,4
chr11,1658037,1658040,5
chr11,1658040,1658043,4
chr11,1658043,1658063,3
chr11,1658063,1658091,2
chr11,1658091,1658166,1
chr11,1658166,1658237,3
chr11,1658237,1658276,2
chr11,1658276,1658290,3
chr11,1658290,1658366,4
