chrom,start,end,value
chr15,72898026,72898040,3
chr15,72898040,72898079,4
chr15,72898079,72898081,5
chr15,72898081,72898087,6
chr15,72898087,72898094,7
chr15,72898094,72898097,8
chr15,72898097,72898111,9
chr15,72898111,72898127,10
chr15,72898127,72898144,9
chr15,72898144,72898148,10
chr15,72898148,72898166,11
chr15,72898166,72898172,12
chr15,72898172,72898173,13
chr15,72898173,72898189,12
chr15,72898189,72898196,13
chr15,72898196,72898206,14
chr15,72898206,72898217,15
chr15,72898217,72898222,16
chr15,72898222,72898224,17
chr15,72898224,72898226,18
chr15,72898226,72898240,17
chr15,72898240,72898241,16
chr15,72898241,72898249,17
chr15,72898249,72898254,18
chr15,72898254,72898274,19
chr15,72898274,72898279,20
chr15,72898279,72898281,19
chr15,72898281,72898287,18
chr15,72898287,72898292,17
chr15,72898292,72898294,18
chr15,72898294,72898297,17
chr15,72898297,72898303,16
chr15,72898303,72898311,17
chr15,72898311,72898344,16
chr15,72898344,72898348,15
chr15,72898348,72898366,14
chr15,72898366,72898372,13
chr15,72898372,72898389,12
chr15,72898389,72898396,11
chr15,72898396,72898406,10
chr15,72898406,72898417,9
chr15,72898417,72898422,8
chr15,72898422,72898424,7
chr15,72898424,72898441,6
chr15,72898441,72898449,5
chr15,72898449,72898454,4
chr15,72898454,72898474,3
chr15,72898474,72898492,2
chr15,72898492,72898503,1
chr15,72898610,72898728,1
chr15,72898728,72898810,2
chr15,72898810,72898923,1
chr15,72898923,72898928,2
chr15,72898928,72899052,1
chr15,72899052,72899123,2
chr15,72899123,72899205,1
chr15,72899205,72899252,2
chr15,72899252,72899405,1
chr15,72900185,72900385,1
chr15,72900556,72900622,1
chr15,72900622,72900670,2
chr15,72900670,72900702,3
chr15,72900702,72900756,4
chr15,72900756,72900822,3
chr15,72900822,72900870,2
chr15,72900870,72900896,1
chr15,72900896,72900902,2
chr15,72900902,72900974,1
chr15,72900974,72900987,2
chr15,72900987,72901058,3
chr15,72901058,72901096,4
chr15,72901096,72901174,3
chr15,72901174,72901187,2
chr15,72901187,72901199,1
chr15,72901199,72901214,2
chr15,72901214,72901258,3
chr15,72901258,72901321,2
chr15,72901321,72901399,3
chr15,72901399,72901414,2
chr15,72901414,72901521,1
chr15,72902047,72902196,1
chr15,72902196,72902247,2
