chrom,start,end,value
chr11,1640504,1640664,1
chr11,1640904,1641004,1
chr11,1641004,1641064,2
chr11,1641064,1641164,1
chr11,1645224,1645384,1
chr11,1645504,1645664,1
chr11,1645664,1645724,2
chr11,1645724,1645824,3
chr11,1645824,1645864,2
chr11,1645864,1645884,3
chr11,1645884,1645964,2
chr11,1645964,1646024,1
chr11,1646044,1646204,1
chr11,1646204,1646324,2
chr11,1646324,1646344,1
chr11,1646964,1647124,1
chr11,1647204,1647244,1
chr11,1647244,1647264,2
chr11,1647264,1647344,3
chr11,1647344,1647384,2
chr11,1647384,1647424,1
chr11,1647504,1647664,1
chr11,1647804,1647964,1
chr11,1648004,1648144,1
chr11,1648744,1648884,1
chr11,1649364,1649404,1
chr11,1649404,1649504,2
chr11,1649504,1649564,1
chr11,1649624,1649704,1
chr11,1649704,1649764,2
chr11,1649764,1649784,1
chr11,1649784,1649844,2
chr11,1649844,1649924,1
chr11,1650144,1650164,1
chr11,1650164,1650184,2
chr11,1650184,1650244,3
chr11,1650244,1650284,4
chr11,1650284,1650324,5
chr11,1650324,1650404,4
chr11,1650404,1650444,3
chr11,1650444,1650464,2
chr11,1650464,1650484,1
chr11,1650504,1650544,1
chr11,1650544,1650664,2
chr11,1650664,1650704,1
chr11,1650824,1650864,1
chr11,1650864,1650884,2
chr11,1650884,1650904,3
chr11,1650904,1650924,4
chr11,1650924,1650964,5
chr11,1650964,1651024,4
chr11,1651024,1651044,3
chr11,1651044,1651064,4
chr11,1651064,1651104,2
chr11,1651104,1651164,3
chr11,1651164,1651264,2
chr11,1651264,1651444,1
chr11,1651444,1651484,2
chr11,1651484,1651524,1
chr11,1651524,1651564,2
chr11,1651564,1651584,3
chr11,1651584,1651624,2
chr11,1651624,1651684,3
chr11,1651684,1651764,2
chr11,1651764,1651824,1
chr11,1651824,1651864,2
chr11,1651864,1651944,1
chr11,1651944,1652084,3
chr11,1652084,1652104,1
chr11,1652104,1652124,2
chr11,1652124,1652204,1
chr11,1652204,1652344,2
chr11,1652344,1652424,1
chr11,1652484,1652624,1
chr11,1652924,1653004,1
chr11,1653004,1653144,4
chr11,1653144,1653164,2
chr11,1653164,1653224,1
chr11,1653344,1653444,1
chr11,1653444,1653484,2
chr11,1653484,1653644,1
chr11,1653644,1653664,2
chr11,1653664,1653684,3
chr11,1653684,1653744,4
chr11,1653744,1653784,3
chr11,1653784,1653804,4
chr11,1653804,1653824,2
chr11,1653824,1653944,1
chr11,1654004,1654324,1
chr11,1654724,1654864,1
chr11,1655364,1655524,1
chr11,1655704,1655864,1
chr11,1656244,1656384,1
chr11,1656484,1656584,2
chr11,1656584,1656644,3
chr11,1656644,1656804,2
chr11,1656804,1656884,1
chr11,1657364,1657504,1
chr11,1657884,1658044,1
chr11,1658364,1658404,1
chr11,1658404,1658504,2
chr11,1658504,1658564,1
chr11,1658704,1658864,1
chr11,1659544,1659704,1
chr11,1659964,1660064,2
chr11,1660064,1660124,4
