chrom1,start1,end1,chrom2,start2,end2,name,Zscore,strand1,strand2
chr1,702924,705358,chr1,925446,928657,1,2.83e-09,.,.
chr1,742806,747145,chr1,751073,754488,2,1e-10,.,.
chr1,793847,796199,chr1,799622,802724,3,1e-10,.,.
chr1,812594,814488,chr1,822179,824541,4,1e-10,.,.
chr1,812898,815919,chr1,828659,831496,5,1e-10,.,.
chr1,862950,868909,chr1,1230904,1235891,7,1e-10,.,.
chr1,880738,884560,chr1,1231916,1233677,8,7.9e-09,.,.
chr1,888867,892142,chr1,1080553,1083940,9,1e-10,.,.
chr1,889043,892493,chr1,1214116,1216875,10,4.99e-09,.,.
chr1,890088,893789,chr1,1229486,1234719,11,1e-10,.,.
chr1,893725,895714,chr1,1265820,1268540,12,2.18e-10,.,.
chr1,904526,908427,chr1,1003172,1005740,13,1e-10,.,.
chr1,921898,927052,chr1,1004363,1009833,14,1e-10,.,.
chr1,922865,927321,chr1,1231296,1234506,15,1.67e-10,.,.
chr1,923255,927086,chr1,1273163,1278402,16,1e-10,.,.
chr1,923432,927253,chr1,1268515,1272149,17,1e-10,.,.
chr1,923501,928888,chr1,1195403,1202106,18,1e-10,.,.
chr1,923505,927416,chr1,1155951,1159046,19,1e-10,.,.
chr1,923805,927709,chr1,1216183,1221837,20,1e-10,.,.
chr1,924002,926475,chr1,1300310,1303270,21,3.26e-07,.,.
chr1,924547,927178,chr1,1143213,1146172,22,3.38e-08,.,.
chr1,924978,927241,chr1,1204497,1206568,23,4.53e-10,.,.
chr1,925543,928116,chr1,1038920,1042123,24,1e-10,.,.
chr1,925741,928528,chr1,1297368,1299127,25,3.03e-08,.,.
chr1,926427,928855,chr1,1191111,1194891,26,9.01e-09,.,.
chr1,938224,940628,chr1,1127346,1130786,27,2.06e-10,.,.
chr1,943084,949102,chr1,1230946,1236423,28,1e-10,.,.
chr1,943183,946820,chr1,1206035,1209787,30,1e-10,.,.
chr1,943644,946686,chr1,1039801,1042978,31,1e-10,.,.
chr1,944622,948704,chr1,1156126,1160815,32,1e-10,.,.
chr1,946435,949054,chr1,1251441,1253537,33,1.42e-09,.,.
chr1,946710,948509,chr1,1295447,1297721,34,7.44e-10,.,.
chr1,954395,958222,chr1,1156642,1158773,35,1.68e-09,.,.
chr1,955187,958003,chr1,1128283,1130213,36,1e-10,.,.
chr1,955937,961426,chr1,1229774,1235452,37,1e-10,.,.
chr1,956837,967533,chr1,1214316,1220821,38,1e-10,.,.
chr1,957345,961413,chr1,1187698,1190412,39,7.27e-10,.,.
chr1,963386,967614,chr1,1197534,1200521,40,1e-10,.,.
chr1,963446,967745,chr1,1230689,1234368,41,1e-10,.,.
chr1,964406,966556,chr1,1159103,1161630,42,1e-10,.,.
chr1,976679,980822,chr1,1155832,1158582,43,1e-10,.,.
chr1,984070,988492,chr1,1009025,1013331,44,1e-10,.,.
chr1,985864,989881,chr1,1123993,1127578,45,1e-10,.,.
chr1,986814,991486,chr1,1195115,1199258,46,1e-10,.,.
chr1,988280,992194,chr1,1148909,1152836,47,2.75e-09,.,.
chr1,988961,991121,chr1,1232157,1235382,48,1.12e-08,.,.
chr1,993551,995922,chr1,1127307,1130034,50,1.89e-10,.,.
chr1,993912,996496,chr1,1038341,1042003,51,1e-10,.,.
chr1,998375,1001062,chr1,1123287,1126514,52,1e-10,.,.
chr1,1003977,1006673,chr1,1038956,1041697,54,3.26e-10,.,.
chr1,1005082,1008790,chr1,1034979,1037861,55,2.86e-10,.,.
chr1,1011369,1016354,chr1,1231697,1237876,57,1e-10,.,.
chr1,1012363,1016276,chr1,1154552,1156989,58,6.09e-10,.,.
chr1,1013883,1018052,chr1,1176973,1180274,59,1e-10,.,.
chr1,1015256,1018829,chr1,1047545,1055488,60,1e-10,.,.
chr1,1015553,1018847,chr1,1196293,1200591,61,5.09e-09,.,.
chr1,1015553,1020518,chr1,1097099,1100181,62,1e-10,.,.
chr1,1016040,1020048,chr1,1167912,1173367,63,1e-10,.,.
chr1,1016569,1018788,chr1,1038420,1042034,64,3.88e-10,.,.
chr1,1017125,1020079,chr1,1035437,1037558,65,1e-10,.,.
chr1,1018523,1020892,chr1,1155466,1160729,66,1e-10,.,.
chr1,1024717,1029052,chr1,1038798,1041661,67,1e-10,.,.
chr1,1029838,1031666,chr1,1035667,1037976,68,1e-10,.,.
chr1,1198055,1201292,chr1,1435865,1438727,71,2.26e-08,.,.
chr1,1214774,1217289,chr1,1434719,1438174,72,5.42e-09,.,.
chr1,1225364,1227985,chr1,1434847,1438912,73,1e-10,.,.
chr1,1250621,1254207,chr1,1458656,1461926,74,1e-10,.,.
chr1,1255654,1258102,chr1,1461694,1465079,75,3.83e-09,.,.
chr1,1266966,1269202,chr1,1435073,1437877,76,5.61e-09,.,.
chr1,1271709,1277867,chr1,1434857,1438961,77,1e-10,.,.
chr1,1271872,1275788,chr1,1429428,1432003,78,4.7e-10,.,.
chr1,1273679,1275631,chr1,1539524,1542282,79,3.25e-08,.,.
chr1,1296506,1302413,chr1,1435194,1438749,80,1e-10,.,.
chr1,1297679,1303589,chr1,1395135,1399410,81,1e-10,.,.
chr1,1299289,1302007,chr1,1538529,1542277,82,1.63e-07,.,.
chr1,1310305,1313466,chr1,1435842,1437852,83,1e-10,.,.
chr1,1320406,1324564,chr1,1436902,1438561,84,1.95e-08,.,.
chr1,1321026,1327468,chr1,1395157,1399682,85,1e-10,.,.
chr1,1322687,1325654,chr1,1443400,1445351,86,1.61e-09,.,.
chr1,1324507,1327915,chr1,1499827,1502356,87,1.39e-06,.,.
chr1,1324793,1326718,chr1,1402081,1405617,88,1.43e-09,.,.
chr1,1330759,1333868,chr1,1435768,1438468,89,1e-10,.,.
chr1,1330769,1335418,chr1,1399122,1403003,90,1e-10,.,.
chr1,1331612,1334195,chr1,1415967,1418426,91,1e-10,.,.
chr1,1331892,1334559,chr1,1538300,1542297,92,3.93e-10,.,.
chr1,1332455,1334985,chr1,1698562,1701339,93,4.8e-08,.,.
chr1,1350808,1355355,chr1,1394076,1398423,94,1e-10,.,.
chr1,1357019,1362985,chr1,1395494,1399413,95,1e-10,.,.
chr1,1364425,1366676,chr1,1394241,1397264,96,1e-10,.,.
chr1,1365473,1367975,chr1,1379485,1382184,97,1e-10,.,.
chr1,1365732,1368213,chr1,1372355,1376337,98,1e-10,.,.
chr1,1366124,1368833,chr1,1386337,1389021,99,1e-10,.,.
chr1,1386218,1389494,chr1,1393738,1398062,100,1e-10,.,.
chr1,1396977,1399826,chr1,1435602,1438606,102,1e-10,.,.
chr1,1415439,1418346,chr1,1436667,1438388,103,1e-10,.,.
chr1,1435298,1437068,chr1,1442588,1446259,106,1e-10,.,.
chr1,1435401,1437647,chr1,1540887,1542802,107,7.71e-09,.,.
chr1,1435761,1438763,chr1,1448606,1450558,108,1e-10,.,.
chr1,1436538,1438745,chr1,1811541,1814519,109,2.59e-08,.,.
chr1,1471280,1505185,chr1,1519751,1556791,110,1e-10,.,.
chr1,1497697,1500981,chr1,1837654,1840544,111,6.12e-08,.,.
chr1,1498119,1501095,chr1,1698177,1702453,112,1e-10,.,.
chr1,1498400,1502303,chr1,1809562,1813585,113,1e-10,.,.
chr1,1498568,1501727,chr1,1578801,1581902,114,1e-10,.,.
chr1,1498673,1501460,chr1,1678334,1681665,115,1.08e-10,.,.
chr1,1508345,1513749,chr1,1520586,1527452,116,1e-10,.,.
chr1,1509761,1513569,chr1,1539668,1542390,117,1e-10,.,.
chr1,1522872,1526124,chr1,1811330,1813968,120,9.96e-09,.,.
chr1,1537869,1542232,chr1,1829009,1833002,121,1e-10,.,.
chr1,1569500,1573185,chr1,1633142,1637402,122,1e-10,.,.
chr1,1571521,1575578,chr1,1637602,1641917,123,1e-10,.,.
chr1,1589341,1592058,chr1,1599617,1602412,124,1e-10,.,.
chr1,1592277,1595388,chr1,1599261,1601966,125,1e-10,.,.
chr1,1613833,1615627,chr1,1666223,1667724,127,1e-10,.,.
chr1,1616779,1622079,chr1,1668725,1675111,128,1e-10,.,.
chr1,1617227,1620588,chr1,1676239,1679757,129,1e-10,.,.
chr1,1672067,1674788,chr1,1825837,1829034,131,1e-10,.,.
chr1,1675843,1683250,chr1,1824796,1832011,132,1e-10,.,.
chr1,1677879,1681998,chr1,1808787,1814507,133,1e-10,.,.
chr1,1687269,1689200,chr1,1810750,1812564,134,1e-10,.,.
chr1,1694175,1705615,chr1,1807862,1819167,135,1e-10,.,.
chr1,1695399,1703735,chr1,1824446,1832661,136,1e-10,.,.
chr1,1695709,1699083,chr1,1819258,1821163,137,1e-10,.,.
chr1,1697089,1700888,chr1,1837349,1841815,138,1e-10,.,.
chr1,1701702,1704529,chr1,1839200,1842498,139,5.85e-09,.,.
chr1,1703384,1705417,chr1,1835689,1838922,140,1.94e-10,.,.
chr1,1704251,1707044,chr1,1800530,1804036,141,1e-10,.,.
chr1,1705013,1707517,chr1,1828606,1830481,142,1e-10,.,.
